make,avg_selling_price
Acura,13983.5977050287
airstream,71000.0
Aston Martin,54812.0
Mercury,Villager,-190.909090909091
Mitsubishi,3000GT,200.0
Mitsubishi,Diamante,258.928571428571
Mitsubishi,Eclipse,163.578680203046
Mitsubishi,Eclipse Spyder,-58.0985915492958
Mitsubishi,Endeavor,96.7032967032967
Mitsubishi,Galant,116.404886561955
Mitsubishi,Lancer,150.91586073501
Mitsubishi,Lancer Evolution,27.0220588235294
Mitsubishi,Lancer Sportback,344.230769230769
Mitsubishi,Mirage,276.184834123223
Mitsubishi,Montero,39.84375
Mitsubishi,Montero Sport,4.60264900662252
Mitsubishi,Outlander,80.0595238095238
Mitsubishi,Outlander Sport,74.4972577696526
Mitsubishi,Raider,-124.074074074074
Mitsubishi,i-MiEV,615.47619047619
Nissan,200SX,-131.25
Nissan,300ZX,818.75
Nissan,350Z,-214.851485148515
Nissan,370Z,-22.6829268292683
Nissan,Altima,75.4466380691509
Nissan,Altima Hybrid,82.5301204819277
Nissan,Armada,192.925221799747
Nissan,Cube,124.125874125874
Nissan,Frontier,80.6640680368533
Nissan,GT-R,869.672131147541
Nissan,Juke,207.515657620042
Nissan,Leaf,-28.052179656539
Nissan,Maxima,159.320375132355
Nissan,Murano,164.962809917355
Nissan,Murano CrossCabriolet,808.333333333333
Nissan,NV,-290.47619047619
Nissan,NV Cargo,510.344827586207
Nissan,NV Passenger,2100.0
Nissan,NV200,229.310344827586
Nissan,Pathfinder,225.074349442379
Nissan,Quest,218.013715710723
Nissan,Rogue,109.431919842548
Nissan,Rogue Select,705.639097744361
Nissan,Sentra,179.20384263495
Nissan,Titan,15.2244389027431
Nissan,Truck,126.5625
Nissan,Versa,230.229301423027
Nissan,Versa Note,510.484802431611
Nissan,Xterra,58.8883572567783
Oldsmobile,Achieva,-175.0
Oldsmobile,Alero,184.807692307692
Oldsmobile,Aurora,107.926829268293
Oldsmobile,Bravada,179.6875
Oldsmobile,Cutlass,58.9285714285714
Oldsmobile,Cutlass Ciera,19.4444444444444
Oldsmobile,Cutlass Supreme,145.454545454545
Oldsmobile,Eighty-Eight,-34.6153846153846
Oldsmobile,Eighty-Eight Royale,100.0
Oldsmobile,Intrigue,42.4528301886792
Oldsmobile,Regency,750.0
Oldsmobile,Silhouette,223.125
Plymouth,Breeze,70.0
Plymouth,Neon,50.0
Plymouth,Prowler,3433.33333333333
Pontiac,Aztek,19.2307692307692
Pontiac,Bonneville,142.962962962963
Pontiac,Firebird,-184.48275862069
Pontiac,G3,-97.2222222222222
Pontiac,G5,268.840579710145
Pontiac,G6,234.756227758007
Pontiac,G8,-95.4545454545455
Pontiac,GTO,-21.1206896551724
Pontiac,Grand Am,185.378440366972
Pontiac,Grand Prix,252.576335877863
Pontiac,Montana,170.0
Pontiac,Montana SV6,137.5
Pontiac,Solstice,78.125
Pontiac,Sunfire,171.666666666667
Pontiac,Torrent,221.334586466165
Pontiac,Vibe,56.3008130081301
Porsche,911,399.344978165939
Porsche,Boxster,-21.7063829787234
Porsche,Cayenne,190.747330960854
Porsche,Cayman,243.181818181818
Porsche,Cayman S,-573.333333333333
Porsche,Macan,2393.75
Porsche,Panamera,466.60447761194
Ram,1500,208.939553626782
Ram,2500,250.027056277056
Ram,3500,549.407114624506
Ram,C/V Cargo Van,317.441860465116
Ram,C/V Tradesman,23.2142857142857
Ram,CV Tradesman,512.5
Ram,Dakota,-113.513513513514
Ram,Promaster Cargo Van,-196.610169491525
Rolls-Royce,Ghost,805.882352941176
Saab,9-2X,-457.5
Saab,9-3,228.248587570621
Saab,9-5,-126.119402985075
Saab,9-7X,4.71698113207547
Saturn,Astra,158.333333333333
Saturn,Aura,190.161290322581
Saturn,Aura Hybrid,1500.0
Saturn,ION,145.582120582121
Saturn,L-Series,162.041884816754
Saturn,L300,157.03125
Saturn,Outlook,52.6041666666667
Saturn,Relay,177.916666666667
Saturn,S-Series,86.6428571428571
Saturn,Sky,-237.0
Saturn,VUE,116.402582159624
Saturn,VUE Hybrid,169.230769230769
Scion,FR-S,105.722891566265
Scion,iQ,0.409836065573771
Scion,tC,32.6729106628242
Scion,xA,10.3448275862069
Scion,xB,171.924603174603
Scion,xD,181.686046511628
Subaru,B9 Tribeca,123.850574712644
Subaru,BRZ,-204.761904761905
Subaru,Baja,164.880952380952
Subaru,Forester,187.211740041929
Subaru,Impreza,99.1699895068206
Subaru,Impreza WRX,86.5740740740741
Subaru,Legacy,132.966695880806
Subaru,Outback,-28.7978723404255
